FACTSET_ENTITY_ID,ISO_COUNTRY,YEAR,g_S3_est,SALES,g_S3_CDP_c
003JR4-E,AUS,2015,982781.6199969489,3800.4965178811563,84695.83347604568
0DHSZD-E,AUS,2015,82076.65277394792,1633.5788625799926,51364.61800548882
05FWGK-E,AUS,2015,94498.15092704054,1088.4249327849548,2467.2123963472895
05HWY4-E,AUS,2015,1.0395149280401466e6,6461.314997637382,993553.1962391335
003JKC-E,AUT,2015,7.180055982369824e6,19863.125730493757,1.106626998314162e6
05J0KT-E,AUT,2015,144623.2765030527,591.2601828605731,6628.654388790776
003KKF-E,AUT,2015,444356.88780338416,3594.371309879533,993.7423445614982
05ZTWT-E,AUT,2015,100704.44266872687,482.7959411511686,2740.5783169818546
05HWY1-E,AUT,2015,1.610201441026703e6,1907.3456155853373,1.8877424863457375e6
05HX92-E,AUT,2015,1.5773530943418888e6,2711.112571260981,162483.9441715966
09WND4-E,AUT,2015,334325.11957811,1789.872,12523.802438597497
05J17T-E,AUT,2015,154542.4771481289,1082.795155967169,233285.29521336505
002K83-E,BEL,2015,1.5928306835716678e7,8768.585566972983,4.987838269094478e6
05HHCX-E,BEL,2015,1.537103203481721e6,2914.562986107241,26274.5530795507
05HJ3S-E,BEL,2015,5.554865482393909e7,20617.22992294656,2.153066762987332e7
05L2FS-E,BEL,2015,783440.121014443,2196.842698555212,9332.237536167679
05JGJ8-E,BEL,2015,4.21525036981687e6,5454.711140904875,143141.08746533192
0688VK-E,BEL,2015,873058.1404784028,1602.3737163050264,279.9718247886485
0622GR-E,BEL,2015,1.0844240250798012e6,4874.161,7604.779001224136
05HZ3X-E,BEL,2015,75920.43255633069,163.98008030144595,55224.500676470976
05HZ66-E,BEL,2015,57789.112283761744,110.66496052661715,3295.5506075802455
003JLR-E,BRA,2015,753530.6930282048,1675.1705439553614,26650.56885422442
002C5D-E,BRA,2015,7.234566265149736e6,12761.344844690293,2.4448999681442804e6
003LG0-E,BRA,2015,5.570788412923087e7,75266.93985368304,4.586211724839224e6
06J41J-E,BRA,2015,2.32843284943671e7,8662.520960823687,827941.7038603373
06JQ36-E,BRA,2015,2.348486685522489e6,1824.0515885233442,1.406293429161634e7
07NJDS-E,BRA,2015,1.878638604161287e7,8013.485541729492,304359.606756736
086DVT-E,BRA,2015,698042.7606337732,871.3445616871716,36394.00011865262
08B2D0-E,BRA,2015,712249.7514414161,1701.2068083316726,33181.06924869158
05J1R2-E,BRA,2015,9.092790838877508e6,10016.482126148341,2.9305196217150493e6
05J13M-E,BRA,2015,1.5900109730808104e6,2604.272796558564,3.425190941745072
0066G5-E,BRA,2015,312.94161824264546,0.3598089729802434,0.28651387555455177
05HWJK-E,BRA,2015,1.2464538734708594e7,9096.48670055973,1.243928337344971e6
05HX9G-E,BRA,2015,120.52974619844,0.08995224324506086,0.010227396852632964
05HZGW-E,BRA,2015,5.014445116385107e6,3595.5625653787097,987.0571776843007
05W4CT-E,BRA,2015,2.763634165755973e6,1806.5239418124781,85.76967642897603
05W4HH-E,BRA,2015,5.3813668662646245e6,4211.694512020269,5844.834033751303
05WHCL-E,BRA,2015,742768.3577307074,776.3312932964266,1855.667494046485
06FFMD-E,BRA,2015,336332.0654960994,1142.6033777798448,31.535819188702714
06NDR6-E,BRA,2015,432567.3159676387,822.0435669355296,26294.564025520183
001YYP-E,BRA,2015,5.061866300812965e6,6735.923815000973,27938.029744989526
05J2S0-E,BRA,2015,3.6982556464279057e6,5293.695998667409,57014.889330236314
05J3LP-E,BRA,2015,2.2365275625484297e6,2922.4584307887817,9255.98860415697
05K029-E,BRA,2015,918985.2619309147,1673.0817402770506,5049.736757666508
09J0TT-E,BRA,2015,256367.71996278592,778.5198190241108,561.1079615523054
0026WY-E,BRA,2015,1.6000283670265079e6,5998.482260946991,17279.978866592315
05HXDX-E,BRA,2015,363584.47248344356,1984.1763087983643,61394.95840535944
007VQR-E,BRA,2015,685327.9250947265,2486.7441560952425,18610.376935908946
00BSDK-E,BRA,2015,2.496126478331699e6,20304.412656556917,58291.44715079005
05HWPQ-E,BRA,2015,1.8434483073165026e6,15148.996071645555,16944.679621584786
05HWYX-E,BRA,2015,269542.57333848305,1030.3114795757776,85370.27634845993
05HZBC-E,BRA,2015,7514.015411940586,37.30019686561857,327.28471890219197
05NSLM-E,BRA,2015,858250.8459792525,6879.428097289413,20125.48501303337
05W4YC-E,BRA,2015,383684.39009503275,2081.8547176636885,4674.810186784723
0663NL-E,BRA,2015,248.4751786015375,1.1393950811041038,547.3918910032795
06QPBQ-E,BRA,2015,1000.4731292387852,27.292087175503838,41.37220241012106
05WSNB-E,BRA,2015,22481.002335832218,44.39308004044768,90.0223571776462
0BCB9M-E,CAN,2015,237032.05833782567,540.4508292130729,37.80351744483557
00CS2T-E,CAN,2015,79076.58832148423,537.356241896393,240909.9434362382
00CZ2H-E,CAN,2015,548089.1330952717,1575.2325996174327,938.6892327634862
0817XN-E,CAN,2015,1.2768714432638528e7,19571.944746736488,557464.3458231364
083V0Q-E,CAN,2015,9.986985735829098e6,8072.0879669327815,4149.848303706337
001NDB-E,CAN,2015,1.9120157590757464e6,5247.9389655862415,1.563384957253587e6
05DZGZ-E,CAN,2015,2.563043581151736e6,6491.3406283121,37492.23351993448
06LJ3H-E,CAN,2015,386276.7251556153,666.5856033383338,3919.4479310608835
003MYN-E,CAN,2015,277107.63496912987,1796.6089789637724,627.4966946983016
06B3CZ-E,CAN,2015,313176.5754380798,1471.9018177389912,35067.43022182146
0093J5-E,CAN,2015,668405.8945778756,2738.6144063476722,1.2201451383256118e6
003NFW-E,CAN,2015,422131.0579401192,1180.8335925361919,3974.454131919553
003N20-E,CAN,2015,582926.7701854199,1232.6187768942261,4646.984149176422
003NSW-E,CAN,2015,190067.5165647622,591.3759385312201,10746.538851097925
002C52-E,CAN,2015,1.6254380182833236e6,3941.153504843043,4143.982040129572
001SSL-E,CAN,2015,21111.612176856353,363.94855451843,5823.983450218739
003NXF-E,CAN,2015,1.3905619153051595e6,3665.327430608157,1279.737624277709
003VJL-E,CAN,2015,3.569809743530154e6,8803.685078334245,97041.28287870061
0019S0-E,CAN,2015,1.82177082052562e6,7701.857306891314,553036.4809608649
001HN7-E,CAN,2015,2.711424859919911e6,7702.366520577125,1.2526072950460108e6
001H5Q-E,CAN,2015,859310.337217513,4031.7268094981746,6328.189388009345
00282B-E,CAN,2015,1.6967199733908821e6,14304.441797879368,1.4424423139069418e6
000CKX-E,CAN,2015,1.005306828007011e6,8054.489639462749,30822.904247853683
00136Q-E,CAN,2015,1.5487766685432964e6,16334.20491393314,9604.553266880019
0018FV-E,CAN,2015,3.0502406618718104e6,19229.926414385925,10150.98147549838
001VG4-E,CAN,2015,667702.5572947703,7196.239352891455,9729.233376229236
00200H-E,CAN,2015,393032.575068278,3025.371463283977,11313.323987947626
002YSD-E,CAN,2015,1.5942366548498613e6,10677.970160294095,2238.0736867443406
003L9F-E,CAN,2015,2.636983280181879e6,18818.333996883248,14336.852200483048
003V24-E,CAN,2015,4.711089990003671e6,18548.497946816682,8316.086974598744
00791K-E,CAN,2015,345259.2836102361,1349.5101729135754,3517.3302928320563
0030M3-E,CAN,2015,710094.2692185842,7858.12062667222,440143.184182173
003FXF-E,CAN,2015,3452.133389169397,26.95484714102368,40170.126412173515
003N6X-E,CAN,2015,4.713346241738237e6,20258.49297270365,6428.326028964487
05G8F7-E,CAN,2015,188635.93027668886,1672.9034960604838,2579.123231868499
05H62K-E,CAN,2015,5.524770837493407e6,26150.602518162927,2523.730862227849
05H65P-E,CAN,2015,4.7606880638666805e6,20258.49297270365,6335.587310961708
05KBY0-E,CAN,2015,559131.5952226568,4784.515614320024,1197.5617018776932
05HL4J-E,CHE,2015,1.127798917078317e6,3417.4462971131907,942038.6557165998
000VJ8-E,CHE,2015,4.0025172540881434e6,39183.24515773343,696233.034087808
05FGM6-E,CHE,2015,3.366303394409902e6,23047.699036751957,3.3201318499513636e6
05HXN2-E,CHE,2015,423360.04799207876,1589.82929009711,4.713394014669251
05HYVW-E,CHE,2015,28250.74789291397,66.9896149820643,222.93738011584801
05J10Q-E,CHE,2015,81789.36029151262,398.9518114700945,12849.161702882197
0036X2-E,CHE,2015,8.614066108290855e6,25550.458107206836,107658.6299051508
0028NS-E,CHE,2015,498228.6743360211,2165.711714208407,8191.2785455021285
05HWZT-E,CHE,2015,1.3627978536161957e6,6816.207087650362,1.5953370386685084e6
05HWWX-E,CHE,2015,4.816509097179626e6,14382.683791941748,237076.21157466836
05LS6N-E,CHE,2015,1.7739674736334216e6,4953.459409323526,6.060120227794027e6
002TZV-E,CHE,2015,38.309673790310406,0.7287161509503339,29.06251441811047
05FWCG-E,CHE,2015,48611.51483603613,763.9646843495377,280.2639793675424
05GGL5-E,CHE,2015,2.518354206196703e6,42392.63824996296,23135.129796817546
0BT2BZ-E,CHE,2015,1.3720181794157862e6,20857.28404921097,45564.47707554805
05FWMC-E,CHE,2015,18240.756564255837,692.2450867619855,1155.11071712418
05HYW0-E,CHE,2015,5153.963599330634,292.960894594285,16.032587134648374
05J16T-E,CHE,2015,12339.815914615221,287.58034330175235,277.72745100845975
05MBK2-E,CHE,2015,64443.96661135445,754.8343922942446,612326.1015881376
08587L-E,CHE,2015,55497.822136685776,1969.364546269131,4071.5920618612504
002C2M-E,CHE,2015,2.791824249512207e6,17813.54766269229,7097.7988140061225
05HWM3-E,CHE,2015,127281.89133057493,4262.635573698449,179161.15108145136
0013TL-E,CHL,2015,354712.0875168232,664.3014259785574,127813.77883778817
05J103-E,COL,2015,205363.75570609563,157.77723078313625,23.40332591498531
06C3Z9-E,COL,2015,814860.4762474493,1787.963121659839,2.5318164905074183e6
05PMHJ-E,COL,2015,194331.23346001847,179.04547733898136,14017.883886254836
06FFV7-E,COL,2015,670787.489663978,911.6014552919811,915.1099823217181
094R7W-E,COL,2015,465629.25694923487,1027.2775642242927,248.38136596861597
003JGK-E,COL,2015,313280.1088677244,2216.24279648093,351.04138353611495
05J27C-E,COL,2015,24142.89665933845,151.40269491985578,93.9104752095893
05WQPQ-E,COL,2015,168522.27837769216,1127.8698234702358,254.93476964440686
05WL8K-E,COL,2015,239080.97817156636,1350.6333802539698,691.4270752437803
05HHL0-E,DEU,2015,2.2001406189232245e6,14932.994714619543,2.756865891430845e6
008TGL-E,DEU,2015,1.0440952369507414e6,1910.983026724595,1.2244172262766922e6
05HSK3-E,DEU,2015,1.0060417798082761e6,2811.0760828135135,87424.5119071657
05HWRB-E,DEU,2015,530866.059979681,2731.3980298989554,17783.248372247424
003715-E,DEU,2015,2.509376552278119e6,1918.9241167194848,884187.042919822
001L0T-E,DEU,2015,3.3571798243193063e6,10659.648971427016,161453.7610374342
0028L7-E,DEU,2015,1.3498454974985233e7,37529.97776786099,1.1244338645001877e7
002PBB-E,DEU,2015,8.525199786187377e6,14906.42948646306,29714.299905759184
002YCC-E,DEU,2015,2.618570176769713e7,45362.45084954667,3.2363566897264227e7
006NX1-E,DEU,2015,2381.784308059124,9.313298428319555,9542.690938566877
00846Z-E,DEU,2015,1.070892440273269e6,3552.995020620994,2.5973567448591995e6
05HG3K-E,DEU,2015,2.5415433600456724e6,4602.553052662516,44815.39918614329
06XPZ0-E,DEU,2015,3.1713274073003815e6,11132.226696736767,5.798704572886287e6
003JMZ-E,DEU,2015,9.761911342353959e6,30398.09077715078,3.4679164837015127e6
05HL4P-E,DEU,2015,230353.5986262499,637.1888444465752,210639.1623037551
05HGS3-E,DEU,2015,1.7435355966480978e7,33277.64468929114,1.929532926123492e7
002Q21-E,DEU,2015,9.119567639526995e6,30359.399466976134,3.5088190469265436e6
05J399-E,DEU,2015,215281.60283404926,731.2120785698454,734.8988927320283
05HRC2-E,DEU,2015,1.0587692516298734e6,3017.8096964169827,6259.522323124191
05HRKW-E,DEU,2015,762350.3242027335,2113.057047991917,1146.4921653984275
05J2TR-E,DEU,2015,341048.935875672,966.5216770854884,239.63552788768337
05J4GT-E,DEU,2015,508719.75475313724,1793.4242618841504,1287.5534763882795
001YFZ-E,DEU,2015,4.9618318544867665e7,144951.02834435808,2.1369180766897175e7
0025F0-E,DEU,2015,3.802806732115379e7,103413.07355095948,4.641225284189944e6
05HF3F-E,DEU,2015,2.8597426088963717e7,86031.83676525035,6.292046023801872e6
05PCZC-E,DEU,2015,2.1400241645538773e7,16426.299758172514,9.913584028605482e6
002M19-E,DEU,2015,574854.6557846434,1492.09702433426,896790.5243532618
05HFSY-E,DEU,2015,1.6349751245066044e6,3064.461331009494,163421.8718126523
06GPMP-E,DEU,2015,5.3176922810481135e6,11036.70447074233,34325.404562201
05GDR1-E,DEU,2015,2.8085838134750936e7,54274.55938871753,2.435614858920778e7
003JN9-E,DEU,2015,1.3920727346929323e7,26423.219381942086,7.960616000000004e6
05HM2F-E,DEU,2015,534957.1099283671,2232.8560688031985,214323.83072243855
05HGB3-E,DEU,2015,2.7689852223834163e6,14307.745064963783,41738.441955211274
05HDZK-E,DEU,2015,592398.9812627373,11609.884077962197,388871.0548987484
0011H9-E,DEU,2015,2.5562856614170857e6,24514.82273824721,932971.7800261332
001D6B-E,DEU,2015,3.5655231600108948e6,28170.110999999997,1.2085197189326999e6
0032RQ-E,DEU,2015,1.4676069293592083e6,9066.717999999999,4185.558885919804
003JZH-E,DEU,2015,2.066677057164149e6,12947.010758397708,5365.16233646362
05FWFX-E,DEU,2015,1.1874304072667465e6,8168.5160000000005,40245.35020921683
05HR85-E,DEU,2015,152612.2603942781,1083.4712217152999,51.539604299682466
05HR9D-E,DEU,2015,387244.41120836115,1896.1120904494433,1234.146169434128
05HRMS-E,DEU,2015,589571.2919359702,3738.2520000000004,302.3083485111506
05HS11-E,DEU,2015,63414.0844253493,364.88905426340534,600.2525387920107
05J4S9-E,DEU,2015,73938.95597576322,431.56365394236457,21842.257031355224
05J74D-E,DEU,2015,115125.3538600686,782.980838986951,851.85032948477
05HL2T-E,DEU,2015,114823.16031576472,1427.114,3524.4649114379545
0093RG-E,DEU,2015,9103.127237155986,102.82672946301453,140.41210021344492
003G89-E,DNK,2015,1.5399884302920746e6,12008.306119882489,951217.2233277224
00455M-E,DNK,2015,408666.50875206373,1214.1857390682176,5396.327754065854
05HZ4Y-E,DNK,2015,709520.7256431212,2147.0704988040675,15642.30379304499
05J1DS-E,DNK,2015,691763.2038183071,1710.746937643957,13.89679965935341
05HWWD-E,DNK,2015,239236.80724253177,1491.4382755370264,39427.360019746666
06FVBQ-E,DNK,2015,319313.559521675,756.6646452322149,253.17147898719398
05HH9B-E,DNK,2015,2.972934345367653e6,7173.177587576343,1.2003252788968564e6
00606S-E,DNK,2015,615997.7610297613,1403.862289720978,1.5812497964906434e6
062N2M-E,DNK,2015,1.0629485878165988e6,8515.268825658222,3426.582771703089
05G8VG-E,DNK,2015,435146.5114521949,7925.853403805868,3438.1172265141977
05HXMM-E,DNK,2015,134098.35205390182,1598.0167436124177,1201.599518013601
003P21-E,DNK,2015,76762.3111523469,546.7396691093925,299407.1120971328
05DZH8-E,ESP,2015,2.296873144838718e7,34987.82838639772,3.747062638962709e6
05HK52-E,ESP,2015,1.229288697325205e6,2025.8594529006298,15239.4997817718
003G1Q-E,ESP,2015,2.5778035142256427e6,4929.137857126498,1.087729650435566e6
00394S-E,ESP,2015,1.1285587711924992e6,3170.0088299647855,29040.54920577011
009BRJ-E,ESP,2015,203606.41316212842,554.626474142853,3900.456579094789
05HLL9-E,ESP,2015,2.550977923421929e6,5768.950956283297,197596.78866884016
05HWMK-E,ESP,2015,2.99623823046788e6,3548.7032576892852,39652.84612799863
05HVZW-E,ESP,2015,972481.1078621225,2038.977973131316,1007.4406549032104
003HR3-E,ESP,2015,2.0957292343394794e7,17830.591767796384,9.60749263946596e6
05HDYL-E,ESP,2015,2.6409634296456143e7,20908.502462041833,1.5483220910939092e7
05HFXJ-E,ESP,2015,3.286911101674645e7,28246.673786084524,222904.6978024817
05HJVH-E,ESP,2015,2.411406431075665e6,5367.185305438245,945153.4345717519
05JLQW-E,ESP,2015,388768.72268718306,1140.0108597280407,8334.759045860717
05HKW1-E,ESP,2015,1.5679161672450523e6,3876.6012518058346,373210.54814763233
08D377-E,ESP,2015,2.8241414772624327e6,8733.300872006446,860073.0962497211
06HVK0-E,ESP,2015,2.6759080964302476e6,7543.272690497359,153547.20764387495
05HGD6-E,ESP,2015,1.4477094138204763e6,3831.1042535213987,391189.81078058947
05HX58-E,ESP,2015,413618.70058672957,1528.8905321743564,12892.315689748435
05DZGP-E,ESP,2015,5.653060201480153e6,39838.43349713831,684523.4465924099
05HX7R-E,ESP,2015,313105.72575835907,2217.3780139108876,7473.57288742069
09Q519-E,ESP,2015,233518.0179813205,3043.757793556689,5879.310996019079
05G7HZ-E,ESP,2015,1.2360717028544974e6,8890.324000000002,13020.496611560367
05HJX4-E,ESP,2015,205958.8913586405,1373.2110000000002,3326.9912514429598
05HKLH-E,ESP,2015,524704.606464256,3598.923,4654.682645376591
06WSS6-E,ESP,2015,371504.163214598,5938.858,21536.267169238985
06Y6NS-E,ESP,2015,577777.4176645909,8410.169000000002,10180.765063255625
003HWW-E,ESP,2015,389247.5230485796,2515.0410972485993,2532.7022770733684
05HXRV-E,FIN,2015,304437.6344653549,545.9320665954647,4214.926174670162
002V9S-E,FIN,2015,5.15605304001339e6,7670.645125452515,1.2994969758208739e6
002V58-E,FIN,2015,3.729429747745431e6,5563.562146601066,2.542185466017992e6
05HX7G-E,FIN,2015,1.4458811790438711e6,1640.1885779448608,370441.4313237841
05HXKW-E,FIN,2015,1.5291096304141372e6,1969.404733009993,563715.4819632701
05KSLM-E,FIN,2015,550932.8402530111,625.90074149262,275.801520036639
063XQ2-E,FIN,2015,54582.366664731315,221.67389747885966,3482.419400515371
05LP7T-E,FIN,2015,5.896740261992899e6,6132.91422137951,2.1989424802652574e6
05JTW6-E,FIN,2015,680418.933250587,1042.6098835066805,119992.19693976133
05HHKF-E,FIN,2015,8.016599376695968e6,4673.76844330581,1300.9706613826613
000RCG-E,FIN,2015,3.6781441438954314e6,10213.927008458182,1.3916828813884568e6
002CKG-E,FIN,2015,978554.0830384851,2305.116233228578,272248.99538271193
05HX0F-E,FIN,2015,1.537148549840776e6,3823.62607991139,1.6475340985840044e6
05HZJ9-E,FIN,2015,388968.59671663994,911.741267778174,733867.2619233255
0DH64Z-E,FIN,2015,630978.527335327,1396.7105516798642,418305.81245695095
05HJM0-E,FIN,2015,2.3134068404333983e6,3423.8774001877664,2.95661185061889e6
05J0K7-E,FIN,2015,525609.8105833065,593.09889138069,7384.076315525015
05HZ28-E,FIN,2015,5.4611744340127185e6,7313.940130197656,2.859818678385561e6
05J0B1-E,FIN,2015,412412.0242707501,686.5482670938712,7686.562937088747
05HZWM-E,FIN,2015,1.491187353682459e6,1942.8278863407995,5.51471753518727e6
05HMFJ-E,FIN,2015,217424.8904236326,1148.6533245297403,5060.627301201665
05HXDY-E,FIN,2015,309205.8263619745,1281.2852708741216,69734.01610696988
05HZ7G-E,FIN,2015,200789.11961350933,584.6320000000001,2662.6539960053824
05HZJX-E,FIN,2015,54518.82202096664,179.84977474166618,81.7757157268811
05HYXL-E,FIN,2015,1.6435220260306923e6,4428.404798563498,23783.71072803713
001YMJ-E,FRA,2015,1.15616350198122e7,18599.42643639963,7.464937839626644e6
05HG4G-E,FRA,2015,2.5132383754144225e7,42187.12555344727,109652.19027112266
005M9Z-E,FRA,2015,4.820156277513846e6,29447.858425594266,3.616361330818859e6
05H41J-E,FRA,2015,8.877882004717054e6,14158.037430406257,879343.8393595995
05HGJH-E,FRA,2015,3.8418713388830973e6,9319.643043117088,8.63619897456135e6
002X73-E,FRA,2015,9.549701938662903e6,33251.12417319066,2.247639270206086e6
05HWRW-E,FRA,2015,733077.7464977688,1878.5728764580463,85677.09133521328
05HZN9-E,FRA,2015,1.6443185254564132e6,3348.0360483296427,19367.12334567371
0011MS-E,FRA,2015,5.277321128580489e6,37841.893256014904,1.2121978233188244e6
05HFTC-E,FRA,2015,7.1540102432556255e6,20686.86693950567,2.5712166250586393e6
05HX6D-E,FRA,2015,1.3708070378448071e6,3695.7018143295295,101455.12230266332
05HHFX-E,FRA,2015,2.93817756444882e6,11082.263909670142,1.5737681785308886e6
05HK8H-E,FRA,2015,3.0345042668191325e6,12310.702682500418,4.0460311590739563e6
064R06-E,FRA,2015,1.124276695680533e6,3735.0540932816693,1.1806976685710822e6
05HYYK-E,FRA,2015,374853.6144313039,826.4581657806045,83030.83326826697
05H41M-E,FRA,2015,1.435522396622973e6,5203.751469701891,20145.701794458026
05GJN3-E,FRA,2015,1.3883531217454111e7,44122.5702249964,6.120227340556424e6
05HDYJ-E,FRA,2015,9.362848037402708e6,34724.446379475965,1.0585986571582103e7
05HDZS-E,FRA,2015,364266.4329607495,1685.463323899334,69473.65847981296
05HHCW-E,FRA,2015,2.308292947862762e7,57870.69411559587,1.4305200459181815e7
0655BR-E,FRA,2015,6.427488680614998e6,13606.672581585293,1.610775646829083e6
0024DP-E,FRA,2015,9.528514068043163e6,22654.016441332606,5.9788805999171315e6
05HFMC-E,FRA,2015,5.490501526512794e6,12985.312833801509,59515.24191565368
002KZL-E,FRA,2015,1.257479708251586e6,4931.614668022029,863691.0763781454
05HWZ3-E,FRA,2015,26174.215007311323,810.718867153937,130385.70522097162
