country,sector_prefix,n_source_sectors,sector_output_total,co2_total,non_co2_total,ghg6_total
ALB,I0,35,18548.329214040215,3.824293798439999e6,3.810441201291431e6,7.634734999731429e6
ARM,I0,17,16376.640913180592,4.6724657213900015e6,3.1968836542309625e6,7.869349375620963e6
AUS,I0,114,2.324076189365589e6,4.0156277018001527e8,1.8866486622279146e8,5.881107540203317e8
AUT,I0,65,705742.7265904773,6.458524302637488e7,1.6741039219927376e7,8.108505800801736e7
AZE,C0,81,60142.06074313962,0.0,0.0,0.0
BEL,I0,64,849994.7022022054,1.1709362752818811e8,3.1452165978831083e7,1.4793617906883112e8
BEN,I0,45,18304.439620138906,5.463750492398533e6,8.491818679682987e6,1.3897907005922986e7
BGR,I0,65,123094.7777038577,4.580043943637637e7,1.4318943034027586e7,5.997415409954756e7
BLR,I0,31,106556.04389154089,5.3567346044832736e7,4.051262878203388e7,9.407613012442385e7
BOL,I0,35,46919.40985243854,2.1065118967288546e7,3.494459006403963e7,5.4303144870949626e7
BRA,I0,67,3.118146748899272e6,5.098106430055988e8,8.031962463350346e8,1.2844625205226743e9
CAN,I0,236,2.7510819014557926e6,5.811685951506209e8,1.7435674438115454e8,7.423088270135937e8
CHE,I0,49,1.4178515187660593e6,4.24260683484255e7,9.390299723591685e6,5.150354802059169e7
CHL,I0,111,429501.38004644995,8.865269967163132e7,3.461605760334045e7,1.1870388387494038e8
CIV,I0,42,50995.84346792412,1.104342311970539e7,1.7205203649970576e7,2.7662112539990574e7
CMR,I0,43,49603.7557925011,9.142044993369827e6,3.0893117654323652e7,3.772779590385364e7
COL,I0,61,497564.66620171216,8.381063477470857e7,1.0618944149403808e8,1.8455055510014805e8
CRI,I0,172,88800.44174658965,7.442206821742733e6,6.855530532053278e6,1.4241404589973278e7
CYP,I0,65,34696.80735542882,7.476200171200657e6,1.5324347524639536e6,8.983592091093957e6
CZE,C0,82,427833.8750457083,1.0334748047662225e8,2.3939965560829617e7,1.2658104753688955e8
DEU,I0,63,6.110065461889313e6,7.803028803910234e8,1.2545080171358351e8,9.031530995584736e8
DNK,C0,117,492253.4254353254,3.840269463676097e7,1.517938676404219e7,5.3408621707512185e7
DOM,I0,40,94112.16566685085,2.356891334357244e7,1.5399984437218912e7,3.872551127294891e7
ECU,I0,71,165474.717,3.903380108688216e7,2.956892026436267e7,6.684966258188267e7
ESP,I0,63,2.2437344916874515e6,2.873540747322546e8,7.756150678845371e7,3.633730087014537e8
EST,I0,63,45630.59961217757,2.1023162764787238e7,5.053397677423453e6,2.601134647308344e7
FIN,I0,64,428753.9059435028,4.716059072250564e7,3.2323238269136343e7,7.932918190892638e7
FRA,I0,138,4.276229699385897e6,3.31593549476606e8,1.310836082402094e8,4.598005575758892e8
GBR,I0,105,4.979429713157263e6,4.3963515162715894e8,9.004397289227481e7,5.282412185942745e8
GEO,I0,45,21343.79859757922,9.087376833820352e6,6.224831280990665e6,1.5171557771830663e7
GHA,I0,20,90569.68036169384,1.5902626577814866e7,1.9723822315635104e7,3.43106649726751e7
GRC,I0,65,310948.43228440406,7.436580911494118e7,2.3027805732280146e7,9.693821497716023e7
HKG,I0,35,278602.23866221955,9.1330848206349e7,5.977142612422791e6,9.595048778629278e7
HND,I0,16,39960.072652588286,1.0059887702291524e7,1.1925583815245986e7,2.1971957026455984e7
HRV,I0,10,65591.40013642632,1.6144850549059995e7,8.043664432583783e6,2.4188514981643777e7
HUN,I0,59,297167.3754781098,4.459114031968823e7,1.6414586780255994e7,6.012627741338599e7
IND,I0,66,3.936807628114391e6,2.1169549015954187e9,1.1029510475423057e9,3.152255984090557e9
IRL,I0,58,578846.4659745302,3.876419636905036e7,2.7922316305838946e7,6.643843036048895e7
ISR,I0,143,499862.83171487605,7.011971731655087e7,1.738173928000085e7,8.408858782492092e7
ITA,I0,63,3.4734825747723836e6,3.508979907219061e8,7.689085314129612e7,4.2262074276956606e8
JPN,11,50,369284.22565394046,9.498718664886864e6,2.2522083798714813e7,3.056580758637201e7
JPN,12,6,29543.358539840636,867480.2125116395,2.6406135300031014e7,2.6406135300031014e7
JPN,Other / suppressed small cells,30,1.4040510325734657e6,1.2348991000509381e8,5.755880925919448e6,1.2874733530399486e8
JPN,15,16,36241.6980492325,584114.673959842,2.131148161342248e6,2.521130466211659e6
JPN,63,16,604171.6164588976,7.889360419276074e6,267636.27562224196,8.156996694898314e6
JPN,16,17,90682.83490144112,1.4268445501953227e7,126179.67077383635,1.409940205914612e7
JPN,20,30,243684.16222627487,3.517776043442211e7,1.15761146179359e7,4.6753875052358e7
JPN,22,4,117564.50246671424,1.4869959675919468e7,3.197508339532805e6,1.806746801545227e7
JPN,25,12,48039.76611979576,5.919677801105601e6,72518.34434197172,5.992196145447573e6
JPN,26,14,229090.57553568197,1.1772774776473549e8,491631.81666765775,1.1821937958140315e8
JPN,27,12,71440.42209938462,3.240835080024286e6,363446.8095829929,3.6042818896072786e6
JPN,28,7,84736.65457333195,593090.9936607664,186874.49398489256,779965.4876456589
JPN,29,8,100480.62710030813,619455.784687276,187507.27226157606,806963.0569488523
JPN,30,14,137995.3921803795,850731.5928770034,218458.33591770893,1.0691899287947125e6
JPN,31,7,62069.84283673599,2.6331225586568094e6,852224.8245181284,3.4853473831749377e6
JPN,32,7,82239.04021139917,506997.7234041814,124143.79831766055,631141.521721842
JPN,33,14,157906.69050728076,1.273729345752293e6,242986.13691079072,1.5167154826630838e6
JPN,34,10,52491.79691519846,341891.79779485794,79238.89958857685,421130.69738343474
JPN,35,15,476470.45438291476,4.403027847981427e6,888325.5228526709,5.291353370834096e6
JPN,39,10,38492.41994616388,393541.96624282055,47435.46503041442,440977.431273235
JPN,41,12,499288.4058330549,4.3875511567e6,193620.80464681285,4.581171961346812e6
JPN,46,4,198476.82801544532,5.672225839033445e8,6.783390837019047e6,5.740059747403635e8
JPN,55,4,560308.813866858,7.237557297585059e6,248937.01060846128,7.48649430819352e6
JPN,57,22,589666.5786266506,2.45392483723966e8,3.529255249864862e6,2.4863063184530768e8
JPN,59,12,392370.3642758902,5.677251536792019e6,324371.20017340174,6.001622736965422e6
JPN,64,13,659950.2260158715,8.524634016339185e6,293206.2326148013,8.817840248953987e6
JPN,66,11,501502.58419915405,6.700315721068339e6,1.0355130028114785e7,1.7055445749183126e7
JPN,67,18,571738.9607542502,7.385201491233192e6,254015.2576867575,7.63921674891995e6
KAZ,I0,72,292422.23749894253,1.8522974102652097e8,7.419289316802794e7,2.5931711472736797e8
KOR,C0,30,3.2490728789921114e6,6.490220859719702e8,7.477292066621135e7,7.218507521495312e8
KWT,C0,53,204005.0185249754,0.0,0.0,0.0
LBN,I0,26,82315.32844780038,2.622047391619024e7,6.180507470157417e6,3.135488438384742e7
LKA,I0,127,125358.73950380704,2.203720541603505e7,2.1364831465690415e7,4.1987950099690415e7
LTU,I0,64,71890.12472507483,1.1320159441252055e7,1.0068770707134854e7,2.1268569292134847e7
LUX,I0,21,208164.80155427626,1.0185719768325385e7,953987.7292273613,1.1135768669227364e7
LVA,I0,65,51843.57757975829,8.0712595183833195e6,4.441984402213326e6,1.2391382667623328e7
MAR,I0,39,161561.45920492598,5.788022981805734e7,3.583504529863678e7,9.359109243263677e7
MDG,I0,23,17975.839544953113,5.132169409107696e6,2.7850335759987425e7,3.1275972012987435e7
MEX,I0,262,2.126627257032612e6,4.857299129677622e8,2.9658463760580456e8,7.782435444888047e8
MKD,I0,64,18811.191896639997,7.185068354815856e6,2.6441153723997325e6,9.82904064039973e6
MLT,I0,19,32117.96316308239,6.943102579038863e6,438911.6256679768,7.380007725667977e6
NER,I0,32,14248.188995216164,2.5718665764752054e6,2.954629625683543e7,3.1861354524835426e7
NLD,I0,76,1.3452712265639442e6,2.1337497740533715e8,4.59056106718781e7,2.579471546898781e8
NOR,I0,65,649913.3371396823,3.976474734443567e7,2.8513078437906347e7,6.817699622688635e7
NZL,I0,106,358134.5763419974,3.5826901770158544e7,5.111238431341229e7,8.642041892741224e7
POL,I0,77,951599.8231318835,2.941593520717474e8,1.0278006058429691e8,3.9325801336929685e8
PRT,I0,80,352792.4088923559,5.3112932039357364e7,1.6093692515813591e7,6.90134011928136e7
ROU,I0,88,319949.3384195043,6.588245347972827e7,3.661933987288282e7,1.0158761544288278e8
RUS,I0,59,2.40170268204e6,1.641785185234067e9,5.3388533188547623e8,2.1749617770634766e9
SEN,I0,27,28502.90470755809,1.0011244476570155e7,1.4877662520639919e7,2.4025570392639916e7
SGP,I0,71,785283.3414544399,2.1903238606644148e8,1.122785351820916e7,2.266168802332092e8
SVK,I0,88,205321.99445322392,2.811304291067402e7,1.0425608423066597e7,3.818479713506656e7
SVN,I0,64,81143.08834976435,1.3062943827066133e7,4.985877813418328e6,1.7984260551418323e7
SWE,I0,59,873523.680984195,4.630864042177122e7,2.223029200333244e7,6.847026644133243e7
TUR,I0,64,1.8855423510599646e6,3.506717133451537e8,1.5120499722395325e8,4.926153659779533e8
TWN,C0,166,1.160705645236322e6,2.9731242276699996e8,2.454551171093903e7,3.21857934477939e8
USA,11,13,485125.50000000006,6.090557624784099e7,4.208773404987474e8,4.741322167320416e8
USA,21,8,591915.9166666665,6.1827623659345485e7,1.6502302852142468e8,2.268506521807702e8
USA,Other / suppressed small cells,16,4.282827199999999e6,2.1365316031906788e9,4.284861681896894e7,2.0822367358581705e9
USA,23,12,1.3844619999999993e6,1.2015276668807316e8,1.8084007545644906e8,3.0099284214452225e8
USA,32,59,2.1997518960230476e6,4.0688482060269886e8,1.2029958223924892e8,5.271844028419472e8
USA,33,139,2.964185690894515e6,8.889440861279328e7,1.5414724256298972e7,1.0430913286909227e8
USA,31,37,1.2609942096774182e6,5.8395124776008144e7,1.0064854679631054e7,6.84599794556392e7
USA,42,11,1.7701094999999993e6,1.5921729549640698e7,1.0880765739513654e6,1.7009806123592068e7
USA,44,6,826099.5000000002,7.430575803414094e6,507798.8190577684,7.938374622471862e6
USA,48,7,923519.3999999999,1.463532841512339e9,1.0166774937002547e8,1.5652005908823647e9
USA,51,15,1.5050508000000005e6,3.1664827360103115e7,5.07432080831663e6,3.673914816841975e7
USA,52,8,2.545139e6,2.2892942399463423e7,1.5644829448969155e6,2.445742534436034e7
USA,53,7,3.3975467166666673e6,4.262193093260197e7,2.730997268959482e7,6.99319036221968e7
USA,54,14,1.6679460241935486e6,1.5931016439590162e7,1.9743675113792967e6,1.790538395096946e7
USA,56,9,321212.63440860214,2.4623099667010164e8,3.4431973378248304e7,2.806629700483499e8
USA,62,13,2.0926138888888885e6,1.3302879470941824e8,7.3429729687761115e6,1.4037176767819443e8
USA,71,8,258240.19999999995,2.3228114550230503e6,246823.45838316923,2.56963491340622e6
USA,72,4,928707.9999999998,8.353515760797691e6,1.4393263413427374e6,9.79284210214043e6
USA,81,12,669143.3225806452,3.1581254925296986e8,930536.5698184492,3.167430858227883e8
USA,S0,7,1.4351316e6,1.2908680058122478e7,882167.5012180561,1.3790847559340535e7
ZAF,I0,50,720806.8920342316,4.565475343432709e8,1.1970170620872134e8,5.747006408077211e8
